Name,Prediction
PumpkabooSmall Size,No
Electivire,No
Magikarp,No
Beldum,No
Shiftry,No
Glaceon,No
Ariados,No
Entei,No
Golett,No
Lileep,No
Gogoat,No
RotomMow Rotom,No
Sunkern,No
Swadloon,No
Swoobat,No
Persian,No
Klink,No
Rotom,No
Froakie,No
Shieldon,No
Krokorok,No
Tepig,No
Carnivine,No
Magnemite,No
Chespin,No
AbomasnowMega Abomasnow,Yes
Zekrom,No
Donphan,No
DeoxysSpeed Forme,No
Prinplup,No
Hippowdon,No
MeowsticFemale,No
Raikou,No
Seel,No
Deino,No
Darkrai,No
Hoothoot,No
Honchkrow,No
KyuremBlack Kyurem,No
Toxicroak,No
Yanma,No
BeedrillMega Beedrill,No
Blissey,No
Steelix,No
Yanmega,No
Kingler,No
Leafeon,No
DeoxysAttack Forme,No
Golurk,No
Mesprit,No
Scrafty,No
Alakazam,No
Grimer,No
Omastar,No
Yveltal,No
Gastly,No
Latias,No
Hitmonlee,No
Tentacool,No
Anorith,No
Jumpluff,No
Finneon,No
Magcargo,No
Gorebyss,No
Grovyle,No
Totodile,No
Cacturne,No
Sandile,No
Grotle,No
Weavile,No
Nidorino,No
Jirachi,No
Gligar,No
Suicune,No
Krookodile,No
Jolteon,No
Kakuna,No
PumpkabooAverage Size,No
Venipede,No
Torterra,No
MewtwoMega Mewtwo Y,Yes
SceptileMega Sceptile,Yes
VenusaurMega Venusaur,Yes
Barboach,No
Phantump,No
LandorusTherian Forme,No
Mandibuzz,No
Honedge,No
Klinklang,No
Shellos,No
Pichu,No
Conkeldurr,No
Vivillon,No
Exeggutor,No
Drowzee,No
Manectric,No
Ivysaur,No
GiratinaOrigin Forme,No
Shinx,No
Croagunk,No
Wingull,No
Emolga,No
Sentret,No
Hitmonchan,No
Clefairy,No
WormadamTrash Cloak,No
Roselia,No
Petilil,No
Whirlipede,No
Tirtouga,No
Ludicolo,No
Sandslash,No
Hippopotas,No
Stoutland,No
Swalot,No
ShayminSky Forme,No
Girafarig,No
Basculin,No
Darumaka,No
Fletchling,No
Arcanine,No
Zweilous,No
Voltorb,No
Corphish,No
Sigilyph,No
HoopaHoopa Confined,No
Beedrill,No
Druddigon,No
Abra,No
Staraptor,No
GarchompMega Garchomp,Yes
Clefable,No
Teddiursa,No
GyaradosMega Gyarados,Yes
Latios,No
CharizardMega Charizard Y,Yes
Furret,No
Zubat,No
Spearow,No
Servine,No
MedichamMega Medicham,No
Reuniclus,No
Lombre,No
Venonat,No
Hariyama,No
Sceptile,No
Mr. Mime,No
Braviary,No
Slugma,No
Lapras,No
Lilligant,No
Xerneas,No
AmpharosMega Ampharos,Yes
Simisage,No
Fearow,No
Aromatisse,No
Azelf,No
Charmeleon,No
Nincada,No
Wobbuffet,No
